text,sentiment
Awful customer service.,negative
Completely useless and a waste of money.,negative
Great value for the price.,positive
"Terrible experience, won't buy again.",negative
Worst thing I've purchased.,negative
Neither good nor bad.,neutral
Not worth it at all.,negative
Not worth it at all.,negative
Superb! Five stars.,positive
"Nothing special, just average.",neutral
"Nothing special, just average.",neutral
Worst thing I've purchased.,negative
Great value for the price.,positive
Worst thing I've purchased.,negative
Service was acceptable.,neutral
Great value for the price.,positive
Broke within a few days.,negative
Works as expected.,neutral
This is the best thing I've used in a while.,positive
Neither good nor bad.,neutral
Neither good nor bad.,neutral
Service was acceptable.,neutral
Very disappointed with this product.,negative
Couldn't be more satisfied.,positive
Would not recommend to anyone.,negative
Couldn't be more satisfied.,positive
"Nothing special, just average.",neutral
"It's okay, not great, not bad.",neutral
Exceeded my expectations in every way.,positive
"Fantastic experience, highly recommend.",positive
Service was acceptable.,neutral
"Fantastic experience, highly recommend.",positive
Exceeded my expectations in every way.,positive
Superb! Five stars.,positive
Mediocre performance.,neutral
Works as expected.,neutral
"Top quality, very impressed.",positive
Exceeded my expectations in every way.,positive
Awful customer service.,negative
I absolutely love this!,positive
I absolutely love this!,positive
Does not work as advertised.,negative
Service was acceptable.,neutral
Mediocre performance.,neutral
Everything works perfectly.,positive
"It's okay, not great, not bad.",neutral
Would not recommend to anyone.,negative
This is the best thing I've used in a while.,positive
Very disappointed with this product.,negative
Fine for the price.,neutral
Would not recommend to anyone.,negative
Really bad quality.,negative
Works as expected.,neutral
Not worth it at all.,negative
Great value for the price.,positive
Couldn't be more satisfied.,positive
"It's okay, not great, not bad.",neutral
Works as expected.,neutral
Very disappointed with this product.,negative
"Top quality, very impressed.",positive
"Decent, nothing more.",neutral
Great value for the price.,positive
Service was acceptable.,neutral
Exceeded my expectations in every way.,positive
Really bad quality.,negative
"No complaints, no praises.",neutral
Everything works perfectly.,positive
Broke within a few days.,negative
"It's okay, not great, not bad.",neutral
I absolutely love this!,positive
Does not work as advertised.,negative
"Terrible experience, won't buy again.",negative
Broke within a few days.,negative
Great value for the price.,positive
Great value for the price.,positive
Everything works perfectly.,positive
"Top quality, very impressed.",positive
"It's okay, not great, not bad.",neutral
Awful customer service.,negative
Service was acceptable.,neutral
Completely useless and a waste of money.,negative
Neither good nor bad.,neutral
Everything works perfectly.,positive
"Top quality, very impressed.",positive
This is the best thing I've used in a while.,positive
Awful customer service.,negative
Would not recommend to anyone.,negative
Very disappointed with this product.,negative
Would not recommend to anyone.,negative
"No complaints, no praises.",neutral
"Fantastic experience, highly recommend.",positive
Not worth it at all.,negative
Does not work as advertised.,negative
"Decent, nothing more.",neutral
Neither good nor bad.,neutral
Mediocre performance.,neutral
Superb! Five stars.,positive
Would not recommend to anyone.,negative
"No complaints, no praises.",neutral
Fine for the price.,neutral
Exceeded my expectations in every way.,positive
"It's okay, not great, not bad.",neutral
Everything works perfectly.,positive
"No complaints, no praises.",neutral
Would not recommend to anyone.,negative
Does what it's supposed to do.,neutral
Mediocre performance.,neutral
Superb! Five stars.,positive
"It's okay, not great, not bad.",neutral
"Nothing special, just average.",neutral
Very disappointed with this product.,negative
Exceeded my expectations in every way.,positive
Superb! Five stars.,positive
Service was acceptable.,neutral
Would not recommend to anyone.,negative
Couldn't be more satisfied.,positive
Fine for the price.,neutral
Couldn't be more satisfied.,positive
Awful customer service.,negative
"Decent, nothing more.",neutral
Does not work as advertised.,negative
"No complaints, no praises.",neutral
Really bad quality.,negative
Exceeded my expectations in every way.,positive
Exceeded my expectations in every way.,positive
Would not recommend to anyone.,negative
Mediocre performance.,neutral
Service was acceptable.,neutral
"Terrible experience, won't buy again.",negative
"Top quality, very impressed.",positive
"Top quality, very impressed.",positive
Service was acceptable.,neutral
Neither good nor bad.,neutral
"Decent, nothing more.",neutral
Service was acceptable.,neutral
So happy with the result.,positive
"Terrible experience, won't buy again.",negative
Would not recommend to anyone.,negative
Would not recommend to anyone.,negative
Everything works perfectly.,positive
Great value for the price.,positive
Neither good nor bad.,neutral
This is the best thing I've used in a while.,positive
"No complaints, no praises.",neutral
Worst thing I've purchased.,negative
This is the best thing I've used in a while.,positive
Neither good nor bad.,neutral
Everything works perfectly.,positive
Completely useless and a waste of money.,negative
Awful customer service.,negative
Awful customer service.,negative
So happy with the result.,positive
Superb! Five stars.,positive
Service was acceptable.,neutral
Works as expected.,neutral
Service was acceptable.,neutral
Broke within a few days.,negative
"Fantastic experience, highly recommend.",positive
"Fantastic experience, highly recommend.",positive
Superb! Five stars.,positive
Exceeded my expectations in every way.,positive
Completely useless and a waste of money.,negative
This is the best thing I've used in a while.,positive
So happy with the result.,positive
Worst thing I've purchased.,negative
Not worth it at all.,negative
"Terrible experience, won't buy again.",negative
"Terrible experience, won't buy again.",negative
"Terrible experience, won't buy again.",negative
Exceeded my expectations in every way.,positive
Service was acceptable.,neutral
Superb! Five stars.,positive
Mediocre performance.,neutral
This is the best thing I've used in a while.,positive
Worst thing I've purchased.,negative
Does what it's supposed to do.,neutral
Would not recommend to anyone.,negative
Works as expected.,neutral
"It's okay, not great, not bad.",neutral
This is the best thing I've used in a while.,positive
This is the best thing I've used in a while.,positive
This is the best thing I've used in a while.,positive
Fine for the price.,neutral
Exceeded my expectations in every way.,positive
"Fantastic experience, highly recommend.",positive
Broke within a few days.,negative
Would not recommend to anyone.,negative
Awful customer service.,negative
Exceeded my expectations in every way.,positive
"Nothing special, just average.",neutral
"Top quality, very impressed.",positive
Would not recommend to anyone.,negative
Everything works perfectly.,positive
Very disappointed with this product.,negative
Awful customer service.,negative
"No complaints, no praises.",neutral
Broke within a few days.,negative
"Nothing special, just average.",neutral
"Top quality, very impressed.",positive
Really bad quality.,negative
